gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
FBgn0000244	C1	C2	OK	11.5726	31.0841	1.42546	4.95246	5e-05	0.0325083	yes
FBgn0003638	C1	C2	OK	29.1223	64.0897	1.13797	3.85556	1e-04	0.0487625	yes
FBgn0005694	C1	C2	OK	17.7923	36.9322	1.05363	3.73695	1e-04	0.0487625	yes
FBgn0021953	C1	C2	OK	54.5813	127.781	1.2272	4.04785	5e-05	0.0325083	yes
FBgn0023507	C1	C2	OK	74.0295	206.502	1.47998	4.89561	5e-05	0.0325083	yes
FBgn0029971	C1	C2	OK	237.36	491.719	1.05076	3.6552	5e-05	0.0325083	yes
FBgn0031738	C1	C2	OK	24.6066	49.083	0.996176	3.48986	1e-04	0.0487625	yes
FBgn0033669	C1	C2	OK	122.803	277.566	1.17649	3.81491	5e-05	0.0325083	yes
FBgn0033716	C1	C2	OK	27.5223	66.6555	1.27612	4.43176	5e-05	0.0325083	yes
FBgn0034266	C1	C2	OK	31.0442	70.4385	1.18204	3.94111	5e-05	0.0325083	yes
FBgn0035950	C1	C2	OK	47.125	102.259	1.11767	3.91694	5e-05	0.0325083	yes
FBgn0035964	C1	C2	OK	57.5242	139.814	1.28127	4.24435	1e-04	0.0487625	yes
FBgn0036058	C1	C2	OK	44.676	101.327	1.18145	4.04511	5e-05	0.0325083	yes
FBgn0038256	C1	C2	OK	67.17	162.914	1.27822	4.27714	5e-05	0.0325083	yes
FBgn0039450	C1	C2	OK	81.4195	188.729	1.21287	4.07555	5e-05	0.0325083	yes
FBgn0260742	C1	C2	OK	59.8077	146.754	1.295	4.36452	5e-05	0.0325083	yes
